Conference,Year,Title,DOI,AuthorNames-Deduped,Award,Accessible,Early,Resources
Vis,2024,Mixing Linters with GUIs: A Color Palette Design Probe,10.1109/TVCG.2024.3456317,Andrew M McNutt;Maureen Stone;Jeffrey Heer,,TRUE,TRUE,P;V;O
Vis,2024,ModalChorus: Visual Probing and Alignment of Multi-modal Embeddings via Modal Fusion Map,10.1109/TVCG.2024.3456387,Yilin Ye;Shishi Xiao;Xingchen Zeng;Wei Zeng,,,TRUE,P;V;O
Vis,2024,Motion-Based Visual Encoding Can Improve Performance on Perceptual Tasks with Dynamic Time Series,10.1109/TVCG.2024.3456405,Songwen Hu;Ouxun Jiang;Jeffrey Riedmiller;Cindy Xiong Bearfield,,,TRUE,V;O
Vis,2024,MSz: An Efficient Parallel Algorithm for Correcting Morse-Smale Segmentations in Error-Bounded Lossy Compressors,10.1109/TVCG.2024.3456337,Yuxiao Li;Xin Liang;Bei Wang;Yongfeng Qiu;Lin Yan;Hanqi Guo,,TRUE,TRUE,P;V;O
Vis,2024,Objective Lagrangian Vortex Cores and their Visual Representations,10.1109/TVCG.2024.3456384,Tobias Günther;Holger Theisel,,,TRUE,V;O
Vis,2024,ParamsDrag: Interactive Parameter Space Exploration via Image-Space Dragging,10.1109/TVCG.2024.3456338,Guan Li;Yang Liu;Guihua Shan;Shiyu Cheng;Weiqun Cao;Junpeng Wang;Ko-Chih Wang,,TRUE,TRUE,P;V;O
Vis,2024,ParetoTracker: Understanding Population Dynamics in Multi-objective Evolutionary Algorithms through Visual Analytics,10.1109/TVCG.2024.3456142,Zherui Zhang;Fan Yang;Ran Cheng;Yuxin Ma,,,TRUE,P;V;O
Vis,2024,Path-based Design Model for Constructing and Exploring Alternative Visualisations,10.1109/TVCG.2024.3456323,James R Jackson;Panagiotis D. Ritsos;Peter W. S. Butcher;Jonathan C Roberts,,TRUE,TRUE,P;V;O
Vis,2024,PhenoFlow: A Human-LLM Driven Visual Analytics System for Exploring Large and Complex Stroke Datasets,10.1109/TVCG.2024.3456215,Jaeyoung Kim;Sihyeon Lee;Hyeon Jeon;Keon-Joo Lee;Bohyoung Kim;HEE JOON;Jinwook Seo,,,TRUE,P;V;O
Vis,2024,Practices and Strategies in Responsive Thematic Map Design: A Report from Design Workshops with Experts,10.1109/TVCG.2024.3456352,Sarah Schöttler;Uta Hinrichs;Benjamin Bach,,,TRUE,P;V;O
Vis,2024,Precise Embodied Data Selection with Haptic Feedback while Retaining Room-Scale Visualisation Context,10.1109/TVCG.2024.3456399,Shaozhang Dai;Yi Li;Barrett Ens;Lonni Besançon;Tim Dwyer,,TRUE,TRUE,P;V;O
Vis,2024,PREVis: Perceived Readability Evaluation for Visualizations,10.1109/TVCG.2024.3456318,Anne-Flore Cabouat;Tingying He;Petra Isenberg;Tobias Isenberg,HM,,TRUE,P;V;O
Vis,2024,Promises and Pitfalls: Using Large Language Models to Generate Visualization Items,10.1109/TVCG.2024.3456309,Yuan Cui;Lily W. Ge;Yiren Ding;Lane Harrison;Fumeng Yang;Matthew Kay,,,TRUE,P;V;O
Vis,2024,ProvenanceWidgets: A Library of UI Control Elements to Track and Dynamically Overlay Analytic Provenance,10.1109/TVCG.2024.3456144,Arpit Narechania;Kaustubh Odak;Mennatallah El-Assady;Alex Endert,,TRUE,TRUE,P;V;O
Vis,2024,PUREsuggest: Citation-based Literature Search and Visual Exploration with Keyword-controlled Rankings,10.1109/TVCG.2024.3456199,Fabian Beck,,TRUE,TRUE,P;V;O
Vis,2024,Quality Metrics and Reordering Strategies for Revealing Patterns in BioFabric Visualizations,10.1109/TVCG.2024.3456312,Johannes Fuchs;Alexander Frings;Maria-Viktoria Heinle;Daniel Keim;Sara Di Bartolomeo,,,TRUE,V;O
Vis,2024,Quantifying Emotional Responses to Immutable Data Characteristics and Designer Choices in Data Visualizations,10.1109/TVCG.2024.3456361,Carter Blair;Xiyao Wang;Charles Perin,,,TRUE,P;V;O
Vis,2024,Rapid and Precise Topological Comparison with Merge Tree Neural Networks,10.1109/TVCG.2024.3456395,Yu Qin;Brittany Terese Fasy;Carola Wenk;Brian Summa,BP,TRUE,TRUE,P;V;O
Vis,2024,Regularized Multi-Decoder Ensemble for an Error-Aware Scene Representation Network,10.1109/TVCG.2024.3456357,Tianyu Xiong;Skylar Wolfgang Wurster;Hanqi Guo;Tom Peterka;Han-Wei Shen,,,TRUE,V;O
Vis,2024,Revealing Interaction Dynamics: Multi-Level Visual Exploration of User Strategies with an Interactive Digital Environment,10.1109/TVCG.2024.3456187,Peilin Yu;Aida Nordman;Marta M. Koc-Januchta;Konrad J Schönborn;Lonni Besançon;Katerina Vrotsou,,TRUE,TRUE,P;V;O
Vis,2024,Shape It Up: An Empirically Grounded Approach for Designing Shape Palettes,10.1109/TVCG.2024.3456385,Chin Tseng;Arran Zeyu Wang;Ghulam Jilani Quadri;Danielle Albers Szafir,,,TRUE,V;O
Vis,2024,SimpleSets: Capturing Categorical Point Patterns with Simple Shapes,10.1109/TVCG.2024.3456168,Steven van den Broek;Wouter Meulemans;Bettina Speckmann,,,TRUE,P;V;O
Vis,2024,SLInterpreter: An Exploratory and Iterative Human-AI Collaborative System for GNN-based Synthetic Lethal Prediction,10.1109/TVCG.2024.3456325,Haoran Jiang;Shaohan Shi;Shuhao Zhang;Jie Zheng;Quan Li,,,TRUE,P;V;O
Vis,2024,Smartboard: Visual Exploration of Team Tactics with LLM Agent,10.1109/TVCG.2024.3456200,Ziao Liu;Xiao Xie;Moqi He;Wenshuo Zhao;Yihong Wu;Liqi Cheng;Hui Zhang;Yingcai Wu,,,TRUE,V;O
Vis,2024,SpatialTouch: Exploring Spatial Data Visualizations in Cross-reality,10.1109/TVCG.2024.3456368,Lixiang Zhao;Tobias Isenberg;Fuqi Xie;Hai-Ning Liang;Lingyun Yu,,,TRUE,P;V;O
Vis,2024,Sportify: Question Answering with Embedded Visualizations and Personified Narratives for Sports Video,10.1109/TVCG.2024.3456332,Chunggi Lee;Tica Lin;Hanspeter Pfister;Chen Zhu-Tian,,TRUE,TRUE,V;O
Vis,2024,SpreadLine: Visualizing Egocentric Dynamic Influence,10.1109/TVCG.2024.3456373,Yun-Hsin Kuo;Dongyu Liu;Kwan-Liu Ma,,TRUE,TRUE,V;O
Vis,2024,Structure-Aware Simplification for Hypergraph Visualization,10.1109/TVCG.2024.3456367,Peter D Oliver;Eugene Zhang;Yue Zhang,,,TRUE,P;V;O
Vis,2024,StuGPTViz: A Visual Analytics Approach to Understand Student-ChatGPT Interactions,10.1109/TVCG.2024.3456363,Zixin Chen;Jiachen Wang;Meng Xia;Kento Shigyo;Dingdong Liu;Rong Zhang;Huamin Qu,,TRUE,TRUE,P;V;O
Vis,2024,StyleRF-VolVis: Style Transfer of Neural Radiance Fields for Expressive Volume Visualization,10.1109/TVCG.2024.3456342,Kaiyuan Tang;Chaoli Wang,,,TRUE,P;V;O
Vis,2024,SurroFlow: A Flow-Based Surrogate Model for Parameter Space Exploration and Uncertainty Quantification,10.1109/TVCG.2024.3456372,JINGYI SHEN;Yuhan Duan;Han-Wei Shen,,,TRUE,P;V;O
Vis,2024,Talk to the Wall: The Role of Speech Interaction in Collaborative Visual Analytics,10.1109/TVCG.2024.3456335,Gabriela Molina León;Anastasia Bezerianos;Olivier Gladin;Petra Isenberg,HM,TRUE,TRUE,P;V;O
Vis,2024,Team-Scouter: Simulative Visual Analytics of Soccer Player Scouting,10.1109/TVCG.2024.3456216,Anqi Cao;Xiao Xie;Runjin Zhang;Yuxin Tian;Mu Fan;Hui Zhang;Yingcai Wu,,,TRUE,V;O
Vis,2024,Telling Data Stories with the Hero's Journey: Design Guidance for Creating Data Videos,10.1109/TVCG.2024.3456330,Zheng Wei;Huamin Qu;Xian Xu,,,TRUE,V;O
Vis,2024,"The Backstory to ""Swaying the Public"": A Design Chronicle of Election Forecast Visualizations",10.1109/TVCG.2024.3456366,Fumeng Yang;Mandi Cai;Chloe Rose Mortenson;Hoda Fakhari;Ayse Deniz Lokmanoglu;Nicholas Diakopoulos;Erik Nisbet;Matthew Kay,,TRUE,TRUE,P;V;O
Vis,2024,The Effect of Visual Aids on Reading Numeric Data Tables,10.1109/TVCG.2024.3456403,YongFeng Ji;Charles Perin;Miguel A Nacenta,,,TRUE,P;V;O
Vis,2024,The Language of Infographics: Toward Understanding Conceptual Metaphor Use in Scientific Storytelling,10.1109/TVCG.2024.3456327,Hana Pokojná;Tobias Isenberg;Stefan Bruckner;Barbora Kozlikova;Laura Garrison,,,TRUE,P;V;O
